Population,NAME,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,PopOver18,Ovr18White,Ovr18Blk_A,Ovr18AmInd,Ovr18Asian,Ovr18Haw_P,Ovr18Other,Ovr18TwoOr,Ovr18HispL,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
1909,Census Tract 1803,588,1205,6,45,1,22,42,55,1555,550,906,6,45,1,17,30,40,981,928,101,134,53,66,216,436,311,487,105,350,133,50,55,11,162,95,1189,885,227,658,304,93,31,180
2200,Census Tract 1801,28,2135,5,2,0,7,23,24,1407,20,1369,1,2,0,4,11,12,912,1288,223,329,116,125,237,313,189,462,206,534,69,28,42,21,423,275,1082,896,111,785,186,49,0,137
3211,Census Tract 1501,35,3126,2,8,0,3,37,18,2241,31,2180,2,6,0,3,19,12,1405,1806,277,378,146,169,362,412,378,860,229,763,139,53,90,38,534,299,1480,1198,406,792,282,53,12,217
1836,Census Tract 2003,474,1237,4,49,0,26,46,49,1264,372,823,4,36,0,12,17,24,871,965,167,222,84,99,225,247,223,469,100,381,95,44,58,29,228,119,963,573,146,427,390,94,22,274
5468,Census Tract 2505,2975,1908,38,114,0,137,296,348,4033,2407,1282,32,94,0,87,131,224,2661,2807,537,565,165,168,598,941,713,1355,426,1271,548,204,184,90,539,322,2552,2105,718,1387,447,282,56,109
4025,Census Tract 2201,3060,603,12,233,5,33,79,126,3718,2887,513,12,215,5,27,59,112,1945,2059,151,106,19,31,449,1158,454,905,731,693,576,129,31,11,86,35,2725,2306,889,1417,419,135,180,104
1564,Census Tract 804,45,1483,1,1,0,2,32,18,1102,36,1049,1,1,0,2,13,9,657,907,159,162,68,73,181,198,218,340,165,324,69,29,35,11,220,119,810,534,160,374,276,77,8,191
3565,Census Tract 2804.01,501,2967,4,22,1,10,60,42,2785,418,2301,4,15,1,8,38,24,1590,1975,217,279,138,146,316,394,464,1077,534,924,479,177,72,24,373,166,1632,1543,993,550,89,38,18,33
3281,Census Tract 1608.01,25,3188,5,2,0,2,59,26,2473,25,2398,4,2,0,2,42,19,1411,1870,247,263,150,148,404,415,333,855,466,865,262,76,82,30,521,238,1356,1226,740,486,130,59,10,61
2430,Census Tract 2503.01,212,2139,11,10,0,8,50,34,1713,179,1479,11,10,0,6,28,26,1078,1352,203,295,103,116,267,316,267,609,254,611,154,49,62,23,395,205,1111,874,360,514,237,33,12,192
3045,Census Tract 1608.02,25,2963,16,1,4,8,28,22,2288,18,2230,14,1,4,1,20,8,1353,1692,186,282,131,158,350,316,318,809,495,762,255,59,72,19,435,172,1223,1027,689,338,196,44,25,127
2898,Census Tract 2707.03,1728,1011,6,30,1,62,60,169,2307,1472,723,5,24,1,48,34,122,1415,1483,201,205,88,97,271,450,430,812,344,711,461,194,82,34,168,66,1334,1199,887,312,135,54,28,53
2564,Census Tract 2402,2284,103,3,108,0,16,50,80,2319,2088,80,1,103,0,14,33,58,1289,1275,156,62,12,15,208,774,421,670,246,580,496,118,31,11,53,15,1608,1358,911,447,250,36,100,114
4361,Census Tract 2705.02,1974,2135,26,64,5,32,125,124,3390,1709,1518,18,54,3,23,65,80,2056,2305,231,374,150,216,334,622,654,1287,493,1074,597,234,107,44,370,180,1982,1807,1271,536,175,43,45,87
3065,Census Tract 301,404,2365,25,85,0,119,67,220,2114,374,1500,18,73,0,108,41,182,1452,1613,292,404,131,124,316,583,358,705,152,631,117,51,52,17,462,351,1328,1170,177,993,158,80,14,64
