Hourly Obs,,,,,,,,,,,,,,,,,,,
Month/Year: 07/2013,,,,,,,,,,,,,,,,,,,
Station Location: BALTIMORE DOWNTOWN (93784),,,,,,,,,,,,,,,,,,,
Lat: 39.281,,,,,,,,,,,,,,,,,,,
Lon: -76.608,,,,,,,,,,,,,,,,,,,
Elev: 20 ft. above sea level,,,,,,,,,,,,,,,,,,,
WBAN,Date,Time,StationType,SkyCondition,Visibility,DryBulbFarenheit,DryBulbCelsius,WetBulbFarenheit,WetBulbCelsius,DewPointFarenheit,DewPointCelsius,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,RecordType,HourlyPrecip,Altimeter
93784,20130701,2254,11,M,M,80,26.7,75,23.9,73,22.8,79,M,M,29.98,30,AA, ,30
93784,20130701,2354,11,M,M,80,26.7,75,23.9,73,22.8,79,M,M,29.99,30,AA, ,30.01
93784,20130702,54,11,M,M,80,26.7,75,23.6,72,22.2,77,M,M,29.99,30.01,AA, ,30.01
93784,20130702,154,11,M,M,80,26.7,75,23.6,72,22.2,77,M,M,30,30.01,AA, ,30.02
93784,20130702,254,11,M,M,79,26.1,74,23.1,71,21.7,77,M,M,30,30.02,AA, ,30.02
93784,20130702,354,11,M,M,79,26.1,74,23.1,71,21.7,77,M,M,30.01,30.03,AA, ,30.03
93784,20130702,454,11,M,M,79,26.1,74,23.4,72,22.2,79,M,M,30.03,30.04,AA, ,30.05
93784,20130702,554,11,M,M,79,26.1,74,23.4,72,22.2,79,M,M,30.05,30.07,AA, ,30.07
93784,20130702,654,11,M,M,79,26.1,74,23.4,72,22.2,79,M,M,30.05,30.07,AA, ,30.07
93784,20130702,754,11,M,M,80,26.7,75,23.6,72,22.2,77,M,M,30.09,30.11,AA, ,30.11
93784,20130702,854,11,M,M,81,27.2,75,23.8,72,22.2,74,M,M,30.09,30.1,AA, ,30.11
93784,20130702,954,11,M,M,83,28.3,75,24.1,72,22.2,70,M,M,30.11,30.13,AA, ,30.13
93784,20130702,1054,11,M,M,84,28.9,75,23.9,71,21.7,65,M,M,30.1,30.12,AA, ,30.12
93784,20130702,1154,11,M,M,86,30,76,24.6,72,22.2,63,M,M,30.1,30.12,AA, ,30.12
93784,20130702,1254,11,M,M,86,30,75,23.9,70,21.1,59,M,M,30.08,30.1,AA, ,30.1
93784,20130702,1354,11,M,M,87,30.6,76,24.4,71,21.7,59,M,M,30.08,30.1,AA, ,30.1
93784,20130702,1454,11,M,M,81,27.2,76,24.5,74,23.3,79,M,M,30.03,30.05,AA,0.02,30.05
93784,20130702,1554,11,M,M,80,26.7,75,23.9,73,22.8,79,M,M,30.1,30.12,AA, ,30.12
93784,20130702,1654,11,M,M,80,26.7,74,23.2,71,21.7,74,M,M,30.13,30.14,AA, ,30.15
93784,20130702,1754,11,M,M,80,26.7,74,23.2,71,21.7,74,M,M,30.13,30.15,AA, ,30.15
93784,20130702,1854,11,M,M,80,26.7,74,23.2,71,21.7,74,M,M,30.13,30.15,AA, ,30.15
93784,20130702,1954,11,M,M,79,26.1,74,23.4,72,22.2,79,M,M,30.14,30.15,AA, ,30.16
93784,20130702,2054,11,M,M,79,26.1,74,23.1,71,21.7,77,M,M,30.15,30.16,AA, ,30.17
93784,20130702,2154,11,M,M,78,25.6,73,22.9,71,21.7,79,M,M,30.16,30.18,AA, ,30.18
93784,20130702,2254,11,M,M,77,25,73,22.7,71,21.7,82,M,M,30.17,30.19,AA, ,30.19
93784,20130702,2354,11,M,M,76,24.4,72,22.2,70,21.1,82,M,M,30.18,30.19,AA, ,30.2
93784,20130703,54,11,M,M,76,24.4,72,22.2,70,21.1,82,M,M,30.18,30.19,AA, ,30.2
93784,20130703,154,11,M,M,76,24.4,72,22.2,70,21.1,82,M,M,30.16,30.18,AA, ,30.18
93784,20130703,254,11,M,M,76,24.4,72,22.2,70,21.1,82,M,M,30.17,30.19,AA, ,30.19
